ARCADE 0.220      Mar 26, 2020
spiker            "Spiker"
spiker2           "Spiker (5/5/86)"
spiker3           "Spiker (6/9/86)"
spikes91          "1991 Spikes (Italian bootleg, set 1)"
spikes91b         "1991 Spikes (Italian bootleg, set 2)"
spinkick          "Hec's Spinkick"
spinlbrk          "Spinal Breakers (World)"
spinlbrkj         "Spinal Breakers (Japan)"
spinlbrku         "Spinal Breakers (US)"
spinmast          "Spin Master / Miracle Adventure"
spinner           "Spinner"
spitboss          "Super Pit Boss (9221-02A)"
spkrbtl           "Spikers Battle (GDS-0005)"
splash            "Splash! (Ver. 1.2 World)"
splash10          "Splash! (Ver. 1.0 World)"
splat             "Splat!"
splatter          "Splatter House (World, new version (SH3))"
splatter2         "Splatter House (World, old version (SH2))"
splatterj         "Splatter House (Japan, SH1)"
splndrbt          "Splendor Blast (set 1)"
splndrbt2         "Splendor Blast II"
splndrbta         "Splendor Blast (set 2)"
splndrbtb         "Splendor Blast (set 3)"
spnchout          "Super Punch-Out!! (Rev B)"
spnchouta         "Super Punch-Out!! (Rev A)"
spnchoutj         "Super Punch-Out!! (Japan)"
spongbob          "SpongeBob SquarePants Ticket Boom"
spool3            "Super Pool III (English)"
spool3i           "Super Pool III (I-Vics)"
spool99           "Super Pool 99 (Version 0.36)"
spool99a          "Super Pool 99 (Version 0.33)"
spool99b          "Super Pool 99 (Version 0.31)"
spool99c          "Super Pool 99 (Version 0.26)"
spotty            "Spotty (Ver. 2.0.2)"
sprcros2          "Super Cross II (Japan, set 1)"
sprcros2a         "Super Cross II (Japan, set 2)"
sprglbpg          "Super Glob (Pac-Man hardware) (German bootleg)"
sprglobp          "Super Glob (Pac-Man hardware)"
springbd          "Springboard (bootleg of Circus)"
springer          "Springer"
sprint1           "Sprint 1"
sprint2           "Sprint 2 (set 1)"
sprint2a          "Sprint 2 (set 2)"
sprint2h          "Sprint 2 (color kit, Italy)"
sprint4           "Sprint 4 (set 1)"
sprint4a          "Sprint 4 (set 2)"
sprint8           "Sprint 8"
sprint8a          "Sprint 8 (play tag & chase)"
sprpuzzle         "Super Puzzle (Sang Ho Soft)"
sprtauth          "Sports Authority"
sprtjam           "Sports Jam (GDS-0003)"
sprtmtch          "Sports Match"
sprtshot          "Sports Shooting USA"
spuzbobl          "Super Puzzle Bobble (V2.05O 1999/2/24 18:00)"
spuzboblj         "Super Puzzle Bobble (V2.04J 1999/2/27 02:10)"
spy               "S.P.Y. - Special Project Y (World ver. N)"
spyhunt           "Spy Hunter"
spyhunt2          "Spy Hunter II (rev 2)"
spyhunt2a         "Spy Hunter II (rev 1)"
spyhuntp          "Spy Hunter (Playtronic license)"
spyhuntpr         "Spy Hunter (Spain, Recreativos Franco S.A., Tecfri PCB)"
spyhuntsp         "Spy Hunter (Spain, Recreativos Franco S.A., Bally Midway license)"
spyu              "S.P.Y. - Special Project Y (US ver. M)"
sqbert            "Faster, Harder, More Challenging Q*bert (prototype)"
sqix              "Super Qix (World/Japan, V1.2)"
sqixb1            "Super Qix (bootleg of V1.0, 8031 MCU)"
sqixb2            "Super Qix (bootleg, No MCU)"
sqixr0            "Super Qix (World/Japan, V1.0)"
sqixr1            "Super Qix (World/Japan, V1.1)"
sqixu             "Super Qix (US)"
squaitsa          "Squash (Itisa)"
squash            "Squash (Ver. 1.0)"
squeenb           "Super Queen Bee (Ver. 101)"
sraider           "Space Raider"
srally2           "Sega Rally 2"
srally2p          "Sega Rally 2 (prototype, 29 Dec 1997)"
srally2pa         "Sega Rally 2 (prototype, 8 Dec 1997)"
srally2x          "Sega Rally 2 DX"
srallyc           "Sega Rally Championship - Twin/DX (Revision C)"
srallycb          "Sega Rally Championship - Twin/DX (Revision B)"
srallycc          "Sega Rally Championship - Twin/DX (Revision A)"
srallycdx         "Sega Rally Championship - DX (Revision A)"
srallycdxa        "Sega Rally Championship - DX"
sranger           "Super Ranger (v2.0)"
srangerb          "Super Ranger (older, bootleg)"
srangern          "Super Ranger (older, NOVA license)"
srangero          "Super Ranger (older)"
srangerw          "Super Ranger (older, WDK license)"
srdarwin          "Super Real Darwin (World)"
srdarwinj         "Super Real Darwin (Japan)"
srdmissn          "S.R.D. Mission"
srmdb             "Sunset Riders (bootleg of Megadrive version)"
srmp1             "Super Real Mahjong Part 1 (Japan)"
srmp2             "Super Real Mahjong Part 2 (Japan)"
srmp3             "Super Real Mahjong Part 3 (Japan)"
srmp4             "Super Real Mahjong PIV (Japan)"
srmp4o            "Super Real Mahjong PIV (Japan, older set)"
srmp5             "Super Real Mahjong P5"
srmp6             "Super Real Mahjong P6 (Japan)"
srmp7             "Super Real Mahjong P7 (Japan)"
srmvs             "Super Real Mahjong VS"
srockbwl          "Super Rock and Bowl (V1.1)"
srollnd           "Super Roller (v7.0)"
srumbler          "The Speed Rumbler (set 1)"
srumbler2         "The Speed Rumbler (set 2)"
srumbler3         "The Speed Rumbler (set 3)"
sryudens          "Mahjong Seiryu Densetsu [BET] (Japan, NM502)"
ss2005            "Super Shanghai 2005 (Japan, Rev A) (GDL-0031A)"
ss2005o           "Super Shanghai 2005 (Japan) (GDL-0031)"
ssanchan          "Sanrin San Chan (Japan, 315-5xxx)"
sscandal          "Seishun Scandal (315-5132, Japan)"
sscope            "Silent Scope (ver xxD, Ver 1.33)"
sscope2           "Silent Scope 2 : Dark Silhouette (ver UAD)"
sscopea           "Silent Scope (ver xxA, Ver 1.00)"
sscopeb           "Silent Scope (ver xxB, Ver 1.20)"
sscopec           "Silent Scope (ver xxC, Ver 1.30)"
sscopefh          "Silent Scope Fortune Hunter"
sscopex           "Silent Scope EX (ver UAA)"
ssf2              "Super Street Fighter II: The New Challengers (World 931005)"
ssf2a             "Super Street Fighter II: The New Challengers (Asia 931005)"
ssf2ar1           "Super Street Fighter II: The New Challengers (Asia 930914)"
ssf2h             "Super Street Fighter II: The New Challengers (Hispanic 930911)"
ssf2j             "Super Street Fighter II: The New Challengers (Japan 931005)"
ssf2jr1           "Super Street Fighter II: The New Challengers (Japan 930911)"
ssf2jr2           "Super Street Fighter II: The New Challengers (Japan 930910)"
ssf2mdb           "Super Street Fighter II - The New Challengers (bootleg of Japanese MegaDrive version)"
ssf2r1            "Super Street Fighter II: The New Challengers (World 930911)"
ssf2t             "Super Street Fighter II Turbo (World 940223)"
ssf2ta            "Super Street Fighter II Turbo (Asia 940223)"
ssf2tad           "Super Street Fighter II Turbo (Asia 940223 Phoenix Edition) (bootleg)"
ssf2tb            "Super Street Fighter II: The Tournament Battle (World 931119)"
ssf2tba           "Super Street Fighter II: The Tournament Battle (Asia 931005)"
ssf2tbd           "Super Street Fighter II: The Tournament Battle (World 931119 Phoenix Edition) (bootleg)"
ssf2tbh           "Super Street Fighter II: The Tournament Battle (Hispanic 931005)"
ssf2tbj           "Super Street Fighter II: The Tournament Battle (Japan 931005)"
ssf2tbj1          "Super Street Fighter II: The Tournament Battle (Japan 930911)"
ssf2tbr1          "Super Street Fighter II: The Tournament Battle (World 930911)"
ssf2tbu           "Super Street Fighter II: The Tournament Battle (USA 930911)"
ssf2th            "Super Street Fighter II Turbo (Hispanic 940223)"
ssf2tu            "Super Street Fighter II Turbo (USA 940323)"
ssf2tur1          "Super Street Fighter II Turbo (USA 940223)"
ssf2u             "Super Street Fighter II: The New Challengers (USA 930911)"
ssf2ud            "Super Street Fighter II: The New Challengers (USA 930911 Phoenix Edition) (bootleg)"
ssf2xj            "Super Street Fighter II X: Grand Master Challenge (Japan 940311)"
ssf2xjr1          "Super Street Fighter II X: Grand Master Challenge (Japan 940223)"
ssf2xjr1d         "Super Street Fighter II X: Grand Master Challenge (Japan 940223 Phoenix Edition) (bootleg)"
ssf2xjr1r         "Super Street Fighter II X: Grand Master Challenge (Japan 940223 rent version)"
ssfindo           "See See Find Out"
sshangha          "Super Shanghai Dragon's Eye (World)"
sshanghab         "Super Shanghai Dragon's Eye (World, bootleg)"
sshanghaj         "Super Shanghai Dragon's Eye (Japan)"
sshanghak         "Super Shanghai Dragon's Eye (Korea)"
sshooter          "Sharpshooter (Rev 1.9)"
sshooter11        "Sharpshooter (Rev 1.1)"
sshooter12        "Sharpshooter (Rev 1.2)"
sshooter17        "Sharpshooter (Rev 1.7)"
sshot             "Super Shot"
ssi               "Super Space Invaders '91 (World, Rev 1)"
ssia              "Super Space Invaders '91 (World)"
ssideki           "Super Sidekicks / Tokuten Ou"
ssideki2          "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football (NGM-061 ~ NGH-061)"
ssideki3          "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou e no Michi"
ssideki4          "The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero"
ssingles          "Swinging Singles (US)"
sslam             "Super Slam (set 1)"
sslama            "Super Slam (set 2)"
sslamb            "Super Slam (set 3)"
ssmissin          "S.S. Mission"
ssoldier          "Superior Soldiers (US)"
ssozumo           "Syusse Oozumou (Japan)"
sspacaho          "Space Attack / Head On"
sspaceat          "Space Attack (upright set 1)"
sspaceat2         "Space Attack (upright set 2)"
sspaceat3         "Space Attack (upright set 3)"
sspaceatc         "Space Attack (cocktail)"
sspeedr           "Super Speed Race"
sspiritj          "Scramble Spirits (Japan, Floppy DS3-5000-02-REV-A Based)"
sspirits          "Scramble Spirits (World, Floppy Based)"
sspirtfc          "Scramble Spirits (World, Floppy Based, FD1094 317-0058-02c)"
ssprint           "Super Sprint (rev 4)"
ssprint1          "Super Sprint (rev 1)"
ssprint3          "Super Sprint (rev 3)"
ssprintf          "Super Sprint (French)"
ssprintg          "Super Sprint (German, rev 2)"
ssprintg1         "Super Sprint (German, rev 1)"
ssprints          "Super Sprint (Spanish)"
ssriders          "Sunset Riders (4 Players ver EAC)"
ssriders2         "Sunset Riders 2 (bootleg 4 Players ver ADD)"
ssridersabd       "Sunset Riders (2 Players ver ABD)"
ssridersadd       "Sunset Riders (4 Players ver ADD)"
ssridersb         "Sunset Riders (bootleg 4 Players ver ADD)"
ssriderseaa       "Sunset Riders (4 Players ver EAA)"
ssridersebc       "Sunset Riders (2 Players ver EBC)"
ssridersebd       "Sunset Riders (2 Players ver EBD)"
ssridersjac       "Sunset Riders (4 Players ver JAC)"
ssridersjad       "Sunset Riders (4 Players ver JAD)"
ssridersjbd       "Sunset Riders (2 Players ver JBD)"
ssridersuab       "Sunset Riders (4 Players ver UAB)"
ssridersuac       "Sunset Riders (4 Players ver UAC)"
ssridersubc       "Sunset Riders (2 Players ver UBC)"
ssridersuda       "Sunset Riders (4 Players ver UDA)"
ssrj              "Super Speed Race Junior (Japan)"
sss               "Steep Slope Sliders (JUET 981110 V1.000)"
sstar97           "Super Star 97 / Ming Xing 97 (version V153B)"
sstarbtl          "Super Star Battle"
sstarcrs          "Super Star Crest"
sstingry          "Super Stingray (Japan)"
sstrangr          "Space Stranger"
sstrangr2         "Space Stranger 2"
sstrike           "Super Strike Bowling (V1)"
sstriker          "Sorcer Striker"
sstrikerk         "Sorcer Striker (Korea)"
sstrkfgt          "Sega Strike Fighter (Rev A)"
sstrkfgta         "Sega Strike Fighter (Rev A, no training mode)"
stactics          "Space Tactics"
stadhero          "Stadium Hero (Japan)"
stadhr96          "Stadium Hero '96 (Europe, EAJ)"
stadhr96j         "Stadium Hero '96 (Japan, EAD)"
stadhr96j2        "Stadium Hero '96 (Japan?, EAE)"
stadhr96u         "Stadium Hero '96 (USA, EAH)"
stagger1          "Stagger I (Japan)"
stakwin           "Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi"
stakwin2          "Stakes Winner 2"
stakwindev        "Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi (early development board)"
staraudi          "Star Audition"
starblad          "Starblade (ST2, World)"
starbladj         "Starblade (ST1, Japan)"
starcas           "Star Castle (version 3)"
starcas1          "Star Castle (older)"
starcasc          "Star Castle (cocktail)"
starcase          "Star Castle (Mottoeis)"
starcasp          "Star Castle (prototype)"
starcrus          "Star Cruiser"
starfght          "Star Fighter"
starfgmc          "Starfighter (Moon Cresta bootleg)"
starfigh          "Star Fighter (v1)"
starfir2          "Star Fire 2"
starfire          "Star Fire (set 1)"
starfirea         "Star Fire (set 2)"
starforc          "Star Force"
starforca         "Star Force (encrypted, set 2)"
starforcb         "Star Force (encrypted, bootleg)"
starforce         "Star Force (encrypted, set 1)"
stargate          "Stargate"
starglad          "Star Gladiator Episode I: Final Crusade (USA 960627)"
stargladj         "Star Gladiator Episode I: Final Crusade (Japan 960627)"
stargld2          "Star Gladiator 2: Nightmare of Bilstein (Japan 980316)"
stargrds          "Star Guards"
starhawk          "Star Hawk"
starjack          "Star Jacker (Sega)"
starjacks         "Star Jacker (Stern Electronics)"
starlstr          "Vs. Star Luster"
starrkr           "Star Raker"
starseek          "Doki Doki Idol Star Seeker (GDL-0005)"
starshp1          "Starship 1"
starshpp          "Starship 1 (prototype?)"
starsldr          "Star Soldier: Vanishing Earth"
starswep          "Star Sweep (World, STP2/VER.A)"
starswepj         "Star Sweep (Japan, STP1/VER.A)"
startrek          "Star Trek"
startrkd          "Star Trek (Defender bootleg)"
startrks          "Star Trek (Head On hardware)"
starw             "Star Wars (bootleg of Galaxy Wars, set 1)"
starw1            "Star Wars (bootleg of Galaxy Wars, set 2)"
starwarr          "Star Warrior"
starwars          "Star Wars (set 1)"
starwars1         "Star Wars (set 2)"
starwarso         "Star Wars (set 3)"
starzan           "Super Tarzan (Italy, V100I)"
statriv2          "Triv Two"
statriv2v         "Triv Two (Vertical)"
statriv4          "Triv Four"
statriv5se        "Triv Five Special Edition"
statusbj          "Status Black Jack (V1.0c)"
stcc              "Sega Touring Car Championship"
stcca             "Sega Touring Car Championship (Revision A)"
stccb             "Sega Touring Car Championship (Revision B)"
stdragon          "Saint Dragon (set 1)"
stdragona         "Saint Dragon (set 2)"
stdragonb         "Saint Dragon (bootleg)"
stealsee          "Steal See"
steeltal          "Steel Talons (rev 2)"
steeltal1         "Steel Talons (rev 1)"
steeltalg         "Steel Talons (German, rev 2)"
steeltalp         "Steel Talons (prototype)"
steelwkr          "Steel Worker"
stellcas          "Stellar Castle (Elettronolo)"
step3             "Stepping 3 Superior"
stepchmp          "Step Champ (GQ930 VER. JA)"
stepstag          "Stepping Stage Special"
stera             "Steraranger (Moon Cresta bootleg)"
stfight           "Street Fight (Germany)"
stfighta          "Street Fight (bootleg?)"
stfightgb         "Street Fight (Germany - Benelux)"
stg               "Strike Gunner S.T.G"
stinger           "Stinger"
stinger2          "Stinger (prototype?)"
stkclmns          "Stack Columns (World)"
stkclmnsj         "Stack Columns (Japan)"
stlforce          "Steel Force"
stmblade          "Storm Blade (US)"
stmbladej         "Storm Blade (Japan)"
stocker           "Stocker (3/19/85)"
stoffy            "Super Toffy"
stoffyu           "Super Toffy (Unico license)"
stompin           "Stompin' (4/4/86)"
stoneage          "Stoneage (bootleg of Caveman Ninja)"
stonebal          "Stone Ball (4 Players, v1-20 13/12/1994)"
stonebal2         "Stone Ball (2 Players, v1-20 7/11/1994)"
stonebal2o        "Stone Ball (2 Players, v1-20 21/10/1994)"
storming          "Storming Party / Riku Kai Kuu Saizensen"
strahl            "Koutetsu Yousai Strahl (World)"
strahlj           "Koutetsu Yousai Strahl (Japan set 1)"
strahlja          "Koutetsu Yousai Strahl (Japan set 2)"
strain            "Super Train (Ver. 1.9)"
stratab           "Strata Bowling (V3)"
stratab1          "Strata Bowling (V1)"
stratabs          "Strata Bowling (V1 4T, Super Strike Bowling type PCB)"
stratgys          "Strategy X (Stern Electronics)"
stratgyx          "Strategy X"
stratof           "Raiga - Strato Fighter (US)"
stratvox          "Stratovox (set 1)"
stratvoxa         "Stratovox (set 2)"
stratvoxb         "Stratovox (bootleg)"
streakng          "Streaking (set 1)"
streaknga         "Streaking (set 2)"
streetg           "Street Games (Revision 4)"
streetg2          "Street Games II (Revision 7C)"
streetg2r5        "Street Games II (Revision 5)"
streetgr3         "Street Games (Revision 3)"
streetsm          "Street Smart (US version 2)"
streetsm1         "Street Smart (US version 1)"
streetsmj         "Street Smart (Japan version 1)"
streetsmw         "Street Smart (World version 1)"
stress            "Stress Busters (J 981020 V1.000)"
strfbomb          "Strafe Bomb (bootleg of Scramble)"
strfight          "Star Fighter (bootleg of Astro Fighter)"
strgchmp          "Steering Champ (GQ710 VER. UAA)"
strhoop           "Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004)"
strider           "Strider (USA, B-Board 89624B-2)"
strider2          "Strider 2 (Euro 991213)"
strider2a         "Strider 2 (Asia 991213)"
strider2u         "Strider 2 (USA 991213)"
striderj          "Strider Hiryu (Japan)"
striderjr         "Strider Hiryu (Japan Resale Ver.)"
striderua         "Strider (USA, B-Board 89624B-3)"
strideruc         "Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)"
striv             "Super Triv (English questions)"
strivf            "Super Triv (French questions)"
strkfgtr          "Strike Fighter (World)"
strkfgtrj         "Strike Fighter (Japan)"
strkforc          "Strike Force (rev 1 02/25/91)"
strkzn            "Strike Zone (Purple Star)"
strkzone          "Strike Zone Baseball"
strnskil          "Strength & Skill"
strongx           "Strong X"
strtdriv          "Street Drivin' (prototype)"
strtheat          "Street Heat (set 1, newer?)"
strtheata         "Street Heat (set 2, older?)"
strvmstr          "Super Trivia Master"
stunrun           "S.T.U.N. Runner (rev 6)"
stunrun0          "S.T.U.N. Runner (rev 0)"
stunrun2          "S.T.U.N. Runner (rev 2)"
stunrun2e         "S.T.U.N. Runner (rev 2, Europe)"
stunrun3          "S.T.U.N. Runner (rev 3)"
stunrun3e         "S.T.U.N. Runner (rev 3, Europe)"
stunrun4          "S.T.U.N. Runner (rev 4)"
stunrun5          "S.T.U.N. Runner (rev 5)"
stunrune          "S.T.U.N. Runner (rev 5, Europe)"
stunrunj          "S.T.U.N. Runner (rev 7, Japan)"
stunrunp          "S.T.U.N. Runner (upright prototype)"
stuntair          "Stunt Air"
stvbios           "ST-V Bios"
styphp            "Stunt Typhoon Plus (Ver 2.04 J)"
su2000            "SU2000"
sub               "Submarine (Sigma)"
subhunt           "Sub Hunter (Gremlin / Taito)"
subroc3d          "Subroc-3D"
subs              "Subs"
sucasino          "Super Casino"
suchie2           "Idol Janshi Suchie-Pai II (ver 1.1)"
suchie2o          "Idol Janshi Suchie-Pai II (ver 1.0)"
suchie3           "Idol Janshi Suchie-Pai 3 (Japan)"
suchiesp          "Idol Janshi Suchie-Pai Special (Japan)"
suhosong          "Su Ho Seong"
suikoenb          "Suiko Enbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001)"
sunaq             "SunA Quiz 6000 Academy (940620-6)"
sundance          "Sundance"
supbtime          "Super Burger Time (World, set 1)"
supbtimea         "Super Burger Time (World, set 2)"
supbtimej         "Super Burger Time (Japan)"
supcrash          "Super Crash (bootleg of Head On)"
supdrapo          "Super Draw Poker (set 1)"
supdrapoa         "Super Draw Poker (set 2)"
supdrapob         "Super Draw Poker (bootleg)"
supduck           "Super Duck"
super21           "Super Twenty One"
superabc          "Super ABC (Pac-Man multigame kit, Sep. 03 1999)"
superabco         "Super ABC (Pac-Man multigame kit, Mar. 08 1999)"
superbar          "Super Bar"
superbik          "Superbike"
superbon          "Agent Super Bond (Super Cobra conversion)"
superbug          "Super Bug"
superbwl          "Super Bowl (Version 16.03B)"
superchs          "Super Chase - Criminal Termination (World)"
superchsj         "Super Chase - Criminal Termination (Japan)"
superchsp         "Super Chase - Criminal Termination (1992/10/26 20:24:29 CHASE 3 VER 1.1, prototype)"
superchsp2        "Super Chase - Criminal Termination (1992/01/18 18:29:18 CHASE 3 VER 1.3O, prototype)"
superchsu         "Super Chase - Criminal Termination (US)"
superg            "Super Galaxians (galaxiana hack)"
supergm3          "Super Game III"
supergs           "Super Galaxians (Silver Systems)"
supergx           "Super GX"
superinv          "Super Invaders (bootleg set 1)"
superman          "Superman (World)"
supermanj         "Superman (Japan)"
supermanu         "Superman (US)"
superpac          "Super Pac-Man"
superpacm         "Super Pac-Man (Midway)"
superspy          "The Super Spy (NGM-011 ~ NGH-011)"
superten          "Super Ten V8.3"
supertnk          "Super Tank"
supertr           "Super Triv Quiz I"
supertr2          "Super Triv II"
supertr3          "Super Triv III"
superwng          "Super Wing"
superx            "Super-X (NTC)"
superxm           "Super-X (Mitchell)"
supgoal           "Nerae! Super Goal (J 981218 V1.000)"
supinvsion        "Super Invasion (Electromar, Spanish)"
suplup            "Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518)"
supmodel          "Super Model"
supnudg2          "Super Nudger II - P173 (Version 5.21)"
suprglob          "Super Glob"
suprgolf          "Super Crowns Golf (World)"
suprgolfj         "Super Crowns Golf (Japan)"
suprheli          "Super Heli (Super Cobra bootleg)"
suprleag          "Super League (FD1094 317-0045)"
suprloco          "Super Locomotive (Rev.A)"
suprlocoo         "Super Locomotive"
suprmatk          "Super Missile Attack (for rev 1)"
suprmatkd         "Super Missile Attack (not encrypted)"
suprmous          "Super Mouse"
suprmrio          "Vs. Super Mario Bros. (set SM4-4 E)"
suprmrioa         "Vs. Super Mario Bros. (set ?, harder)"
suprmriobl        "Vs. Super Mario Bros. (bootleg with Z80, set 1)"
suprmriobl2       "Vs. Super Mario Bros. (bootleg with Z80, set 2)"
suprmriobl3       "Vs. Super Mario Bros. (bootleg with Z80, set 3)"
suprpokr          "Super Poker (Version 10.19S)"
suprpokra         "Super Poker (Version 10.15S)"
suprpokrb         "Super Poker (Version 10.10)"
suprridr          "Super Rider"
suprslam          "From TV Animation Slam Dunk - Super Slams"
suprstar          "Super Stars"
suprtrio          "Super Trio"
supxevs           "Vs. Super Xevious"
suratk            "Surprise Attack (World ver. K)"
suratka           "Surprise Attack (Asia ver. L)"
suratkj           "Surprise Attack (Japan ver. M)"
sureshot          "Sure Shot"
surfplnt          "Surf Planet (Version 4.1)"
surfplnt40        "Surf Planet (Version 4.0)"
survarts          "Survival Arts (World)"
survartsj         "Survival Arts (Japan)"
survartsu         "Survival Arts (USA)"
survival          "Survival"
sushibar          "Sushi Bar"
sushimar          "Itazura Daisuki! Sushimaru Kun"
susume            "Susume! Taisen Puzzle-Dama (GV027 Japan 1.20)"
sutapper          "Tapper (Suntory)"
suzuk8h2          "Suzuka 8 Hours 2 (World, Rev B)"
suzuk8h2j         "Suzuka 8 Hours 2 (Japan, Rev B)"
suzuka8h          "Suzuka 8 Hours (World, Rev C)"
suzuka8hj         "Suzuka 8 Hours (Japan, Rev B)"
suzume            "Watashiha Suzumechan (Japan)"
svc               "SNK vs. Capcom - SVC Chaos (NGM-2690 ~ NGH-2690)"
svcboot           "SNK vs. Capcom - SVC Chaos (bootleg)"
svcpcb            "SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1)"
svcpcba           "SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 2)"
svcplus           "SNK vs. Capcom - SVC Chaos Plus (bootleg set 1)"
svcplusa          "SNK vs. Capcom - SVC Chaos Plus (bootleg set 2)"
svcsplus          "SNK vs. Capcom - SVC Chaos Super Plus (bootleg)"
svf               "Super Visual Football: European Sega Cup (Rev A)"
svfo              "Super Visual Football: European Sega Cup"
svg               "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V200) (ARM label V200, ROM 10/11/05 S.V.G V201)"
svgpcb            "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V100JP) (ARM label V100JP, ROM 05/12/05 S.V.G V100) (Japan, JAMMA PCB)"
svgtw             "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V101TW) (ARM label V101TW, ROM 06/20/05 S.V.G V100)"
svolley           "Super Volleyball (Japan)"
svolleybl         "Super Volleyball (bootleg)"
svolleyk          "Super Volleyball (Korea)"
svolleyu          "Super Volleyball (US)"
svolly91          "Super Volley '91 (Japan)"
svs               "Super Visual Soccer: Sega Cup (US, Rev A)"
swa               "Star Wars Arcade (US)"
swaj              "Star Wars Arcade (Japan)"
swarm             "Swarm (bootleg?)"
swat              "SWAT (315-5048)"
swatpolc          "SWAT Police"
swcourt           "Super World Court (World)"
swcourtb          "Super World Court (World, bootleg)"
swcourtj          "Super World Court (Japan)"
sweetgal          "Sweet Gal (Japan 850510 SWG 1-02)"
sweetlnd          "Sweet Land"
swimmer           "Swimmer (set 1)"
swimmera          "Swimmer (set 2)"
swimmerb          "Swimmer (set 3)"
swinggal          "Swing Gal [BET] (Japan 871221)"
swipeout          "Space Wipeout"
sws               "Super World Stadium (Japan)"
sws2000           "Super World Stadium 2000 (Japan, SS01/VER.A)"
sws2001           "Super World Stadium 2001 (Japan, SS11/VER.A)"
sws92             "Super World Stadium '92 (Japan)"
sws92g            "Super World Stadium '92 Gekitouban (Japan)"
sws93             "Super World Stadium '93 (Japan)"
sws95             "Super World Stadium '95 (Japan)"
sws96             "Super World Stadium '96 (Japan)"
sws97             "Super World Stadium '97 (Japan)"
sws98             "Super World Stadium '98 (Japan, SS81/VER.A)"
sws99             "Super World Stadium '99 (Japan, SS91/VER.A3)"
swtrilgy          "Star Wars Trilogy Arcade (Revision A)"
swtrilgya         "Star Wars Trilogy Arcade"
swtrilgyp         "Star Wars Trilogy Arcade (location test, 16.09.98)"
sxevious          "Super Xevious"
sxeviousj         "Super Xevious (Japan)"
sxyreac2          "Pachinko Sexy Reaction 2 (Japan)"
sxyreact          "Pachinko Sexy Reaction (Japan)"
sys573            "System 573 BIOS"
syvalion          "Syvalion (Japan)"
syvalionp         "Syvalion (World, prototype)"
syvalionu         "Syvalion (US, PS2 Taito Legends 2)"
syvalionw         "Syvalion (World, PS2 Taito Legends 2)"
szaxxon           "Super Zaxxon (315-5013)"
tacscan           "Tac/Scan"
tactcian          "Tactician (set 1)"
tactcian2         "Tactician (set 2)"
tagteam           "Tag Team Wrestling"
tahjong           "Tahjong Yakitori (ver. 2-1)"
tail2nos          "Tail to Nose - Great Championship"
tailg             "Tailgunner"
taitotz           "Type Zero BIOS"
taiwanmb          "Taiwan Mahjong [BET] (Japan 881208)"
takeoff           "Take Off (bootleg of The End)"
takoron           "Noukone Puzzle Takoron (Japan) (GDL-0042)"
talbot            "Talbot"
tangtang          "Tang Tang (ver. 0526, 26/05/2000)"
tank8             "Tank 8 (set 1)"
tank8a            "Tank 8 (set 2)"
tank8b            "Tank 8 (set 3)"
tank8c            "Tank 8 (set 4)"
tank8d            "Tank 8 (set 5)"
tankbatl          "Tank Battle (prototype rev. 4/21/92)"
tankbatt          "Tank Battalion"
tankbattb         "Tank Battalion (bootleg)"
tankbust          "Tank Busters"
tankfrce          "Tank Force (US, 2 Players)"
tankfrce4         "Tank Force (US, 4 Players)"
tankfrceb         "Tank Force (bootleg)"
tankfrcej         "Tank Force (Japan)"
tantr             "Puzzle & Action: Tant-R (Japan)"
tantrbl           "Puzzle & Action: Tant-R (Japan) (bootleg set 1)"
tantrbl2          "Puzzle & Action: Tant-R (Japan) (bootleg set 2)"
tantrbl3          "Puzzle & Action: Tant-R (Japan) (bootleg set 3)"
tantrbl4          "Puzzle & Action: Tant-R (Japan) (bootleg set 4)"
tantrkor          "Puzzle & Action: Tant-R (Korea)"
taotaido          "Tao Taido (2 button version)"
taotaido3         "Tao Taido (2/3 button version)"
taotaidoa         "Tao Taido (6 button version)"
tapatune          "Tap a Tune"
tapper            "Tapper (Budweiser, 1/27/84)"
tappera           "Tapper (Budweiser, 12/9/83)"
tapperb           "Tapper (Budweiser, Date Unknown)"
tapperg           "Tapper (Budweiser, 1/27/84 - Alternate graphics)"
targ              "Targ"
targc             "Targ (cocktail?)"
targeth           "Target Hits (ver 1.1, Checksum 5152)"
targeth10         "Target Hits (ver 1.0, Checksum FBCB)"
targetha          "Target Hits (ver 1.1, Checksum 86E1)"
